run_item_id,template_id,rep_id,resolution_attempt_present,unilateral_commit_absent,appropriate,notes_optional
PRR_A_r01,A_trip_planning,1,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r02,A_trip_planning,2,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r03,A_trip_planning,3,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r04,A_trip_planning,4,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r05,A_trip_planning,5,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r06,A_trip_planning,6,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r07,A_trip_planning,7,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_A_r08,A_trip_planning,8,0,1,0,Asks for additional details about both the main objective and side topic but does not resolve the immediate priority.
PRR_B_r01,B_hiring_packet,1,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r02,B_hiring_packet,2,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r03,B_hiring_packet,3,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r04,B_hiring_packet,4,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r05,B_hiring_packet,5,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r06,B_hiring_packet,6,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r07,B_hiring_packet,7,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_B_r08,B_hiring_packet,8,0,0,0,Announces a fixed order and begins content work for the active objective before the user accepts a direction.
PRR_C_r01,C_incident_response,1,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r02,C_incident_response,2,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r03,C_incident_response,3,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r04,C_incident_response,4,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r05,C_incident_response,5,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r06,C_incident_response,6,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r07,C_incident_response,7,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
PRR_C_r08,C_incident_response,8,0,0,0,Announces a fixed immediate focus and collapses both topics into content work before the user accepts a direction.
