run_item_id,template_id,rep_id,provider,model,temperature,arm_label,step2_action_class,accepted_branch_alignment_class,acceptance_variant_id,accepted_branch_label,main_direction_label,side_direction_label,initial_ambiguous_user_turn,canned_step2_assistant_turn,downstream_acceptance_user_turn,assistant_decisive_turn_response,output_tokens,system_prompt_sha256,ran_at_utc
GPH2_anthropic_nrr_A_main_r01,A_trip_planning,1,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into major categories (transport, accommodation, food, activities, etc.).

2. **Outline your schedule** – Lock in your travel dates, then map out a day-by-day itinerary covering arrival, key activities, and departure.

Once these are done, we can move on to restaurants!",100,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r02,A_trip_planning,2,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into major categories (transport, accommodation, food, activities, etc.).

2. **Outline your schedule** – Lock in your travel dates, then map out a day-by-day itinerary covering arrival, key activities, and departure.

Once these are done, we can move on to restaurants!",100,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r03,A_trip_planning,3,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Great! Here are the next two concrete steps:

1. **Set your overall budget** – Determine the total amount you're willing to spend on the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Build your schedule** – Outline your travel dates, key destinations, and a day-by-day itinerary, making sure the timing aligns with your budget allocations.

Once these are solid, we can move on to restaurants!",108,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r04,A_trip_planning,4,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Great! Here are the next two concrete steps:

1. **Set your overall budget** – Determine the total amount you're willing to spend on the trip, then break it down into major categories (transportation, accommodation, food, activities, etc.).

2. **Build your schedule framework** – Decide on your travel dates, trip duration, and key destinations or stops, then map out a rough day-by-day timeline to anchor everything else.

Once these are done, we can layer in the details and then circle back to restaurants!",116,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r05,A_trip_planning,5,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Great! Here are the next two concrete steps:

1. **Set your overall budget** – Determine the total amount you're willing to spend on the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Build your schedule** – Outline your travel dates, key destinations, and a day-by-day itinerary, making sure the timing aligns with your budget allocations.

Once these are solid, we can move on to restaurants!",108,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r06,A_trip_planning,6,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into major categories (transport, accommodation, food, activities, etc.).

2. **Outline your schedule** – Define your travel dates, duration, and a rough day-by-day structure so you can align time and costs together.

Ready to dig into either of these?",94,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r07,A_trip_planning,7,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Great! Here are the next two concrete steps:

1. **Set your overall budget** – Determine the total amount you're willing to spend on the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Draft a rough schedule** – Outline your travel dates, key destinations, and a day-by-day itinerary so you can align time and costs together.

Once these are in place, we'll have a solid foundation to layer in restaurant planning. Ready to tackle the budget first?",118,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r08,A_trip_planning,8,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Great! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total spending limit for the trip, then break it down into categories (transport, accommodation, food, activities, etc.).

2. **Draft a day-by-day schedule** – Outline your travel dates, key destinations, and how long you'll spend at each stop, making sure the timing aligns with your budget constraints.

Once these are done, we can move on to restaurants!",108,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r09,A_trip_planning,9,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Great! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total spending limit for the trip, then break it down into categories (transport, accommodation, food, activities, etc.).

2. **Draft a day-by-day schedule** – Outline your travel dates, key destinations, and how much time you'll spend at each stop, so you can align the schedule with your budget allocations.

Ready to dig into either of these?",106,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
GPH2_anthropic_nrr_A_main_r10,A_trip_planning,10,anthropic,claude-sonnet-4-6,0.0,nrr,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","Before we start the content work, let's resolve the immediate priority: should we stay with budget and schedule first or switch to restaurants first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into major categories (transport, accommodation, food, activities, etc.).

2. **Outline your schedule** – Define your travel dates, duration, and a rough day-by-day structure so you can align time and spending realistically.

Ready to dig into either of these?",95,869ef690ada6042ab7645c4443d975e9627a931cec088a27ea7bacd39e5cf8fe,2026-03-20T15:42:08Z
