run_item_id,template_id,rep_id,provider,model,temperature,arm_label,step2_action_class,accepted_branch_alignment_class,acceptance_variant_id,accepted_branch_label,main_direction_label,side_direction_label,initial_ambiguous_user_turn,canned_step2_assistant_turn,downstream_acceptance_user_turn,assistant_decisive_turn_response,output_tokens,system_prompt_sha256,ran_at_utc
GPH2_gemini_baseline_A_main_r01,A_trip_planning,1,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip duration.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r02,A_trip_planning,2,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip length.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r03,A_trip_planning,3,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip length.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r04,A_trip_planning,4,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip length.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r05,A_trip_planning,5,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip length.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r06,A_trip_planning,6,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip duration.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r07,A_trip_planning,7,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip duration.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r08,A_trip_planning,8,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip length.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r09,A_trip_planning,9,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip length.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
GPH2_gemini_baseline_A_main_r10,A_trip_planning,10,gemini,gemini-2.0-flash,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Okay! Next, let's determine your overall trip budget and then decide on your travel dates and trip duration.",24,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T16:02:28Z
