run_item_id,template_id,rep_id,provider,model,temperature,arm_label,step2_action_class,accepted_branch_alignment_class,acceptance_variant_id,accepted_branch_label,main_direction_label,side_direction_label,initial_ambiguous_user_turn,canned_step2_assistant_turn,downstream_acceptance_user_turn,assistant_decisive_turn_response,output_tokens,system_prompt_sha256,ran_at_utc
GPH2_anthropic_baseline_A_main_r01,A_trip_planning,1,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, activities, food, etc.).

2. **Draft a rough itinerary** – Outline your travel dates, key destinations, and how many days you'll spend in each place, so you can align the schedule with your budget.

Once these are done, we can move on to restaurants!",110,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r02,A_trip_planning,2,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Outline your itinerary dates** – Lock in your travel dates and map out a day-by-day schedule, including key destinations, travel time between them, and must-do activities.

Once these are done, we can move on to restaurants!",112,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r03,A_trip_planning,3,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total amount you're willing to spend, then break it down into categories like transportation, accommodation, food, and activities.

2. **Draft a rough schedule** – Outline your travel dates, key destinations, and how many days you'll spend in each place to give your trip a clear structure.

Once these are done, we can move on to restaurants!",101,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r04,A_trip_planning,4,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total amount you're comfortable spending, then break it down into categories like transportation, accommodation, food, and activities.

2. **Draft a rough schedule** – Outline your travel dates, key destinations, and a day-by-day itinerary so you can estimate how long you'll spend in each place.

Once these are done, we can move on to restaurants!",105,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r05,A_trip_planning,5,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Outline your itinerary dates** – Lock in your travel dates and map out a day-by-day schedule, including key destinations, travel time between them, and any must-do activities.

Once these are done, we can move on to restaurants!",113,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r06,A_trip_planning,6,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total amount you're comfortable spending, then break it down into categories like transportation, accommodation, food, and activities.

2. **Draft a rough schedule** – Outline your travel dates, key destinations, and a day-by-day itinerary so you can estimate how long you'll spend in each place.

Once these are done, we can move on to restaurants!",105,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r07,A_trip_planning,7,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Draft a day-by-day schedule** – Outline your travel dates, key destinations, and how long you'll spend at each place, so you can align the schedule with your budget.

Once these are done, we can move on to restaurants!",111,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r08,A_trip_planning,8,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total amount you're willing to spend, then break it down into categories like transportation, accommodation, food, and activities.

2. **Draft a rough schedule** – Outline your travel dates, key destinations, and how many days you'll spend in each place to give your trip a clear structure.

Once these are done, we can move on to restaurants!",101,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r09,A_trip_planning,9,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total amount you're comfortable spending, then break it down into categories like transportation, accommodation, food, and activities.

2. **Draft a rough schedule** – Outline your travel dates, key destinations, and a day-by-day itinerary so you can estimate how long you'll spend in each place.

Once these are done, we can move on to restaurants!",105,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r10,A_trip_planning,10,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps:

1. **Set your overall budget** – Decide on a total amount you're comfortable spending, then break it down into categories like transportation, accommodation, food, and activities.

2. **Outline your schedule** – Pick your travel dates, decide how many days you'll spend at each destination, and map out a rough day-by-day itinerary.

Once you have these in place, we can move on to restaurants!",105,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r11,A_trip_planning,11,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Outline your itinerary dates** – Lock in your travel dates and map out a day-by-day schedule, including key destinations, travel time between them, and any must-do activities.

Once these are done, we can move on to restaurants!",113,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r12,A_trip_planning,12,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, food, activities, etc.).

2. **Outline your itinerary dates** – Lock in your travel dates and map out a day-by-day schedule, including key destinations, travel time between them, and any must-do activities.

Once these are done, we can move on to restaurants!",113,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
GPH2_anthropic_baseline_A_main_r13,A_trip_planning,13,anthropic,claude-sonnet-4-6,0.0,baseline,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.",We can either stay with budget and schedule first or switch to restaurants first. Which would you like to do now?,Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Sure! Here are the next two concrete steps for budget and schedule:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into categories (transportation, accommodation, activities, food, etc.).

2. **Outline your itinerary dates** – Lock in your travel dates and map out a day-by-day schedule, including key destinations, travel time between them, and any must-do activities.

Once these are done, we can move on to restaurants!",113,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-20T15:29:23Z
