run_item_id,template_id,acceptance_variant_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,acceptance_turn
PRA_A_main_r01,A_trip_planning,accept_main_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.
PRA_A_main_r02,A_trip_planning,accept_main_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.
PRA_A_main_r03,A_trip_planning,accept_main_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.
PRA_A_main_r04,A_trip_planning,accept_main_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.
PRA_A_side_r01,A_trip_planning,accept_side_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.
PRA_A_side_r02,A_trip_planning,accept_side_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.
PRA_A_side_r03,A_trip_planning,accept_side_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.
PRA_A_side_r04,A_trip_planning,accept_side_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.
PRA_B_main_r01,B_hiring_packet,accept_main_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.
PRA_B_main_r02,B_hiring_packet,accept_main_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.
PRA_B_main_r03,B_hiring_packet,accept_main_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.
PRA_B_main_r04,B_hiring_packet,accept_main_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.
PRA_B_side_r01,B_hiring_packet,accept_side_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.
PRA_B_side_r02,B_hiring_packet,accept_side_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.
PRA_B_side_r03,B_hiring_packet,accept_side_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.
PRA_B_side_r04,B_hiring_packet,accept_side_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's switch to onboarding training first.
PRA_C_main_r01,C_incident_response,accept_main_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.
PRA_C_main_r02,C_incident_response,accept_main_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.
PRA_C_main_r03,C_incident_response,accept_main_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.
PRA_C_main_r04,C_incident_response,accept_main_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's stay with the incident-response plan first.
PRA_C_side_r01,C_incident_response,accept_side_first,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.
PRA_C_side_r02,C_incident_response,accept_side_first,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.
PRA_C_side_r03,C_incident_response,accept_side_first,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.
PRA_C_side_r04,C_incident_response,accept_side_first,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,Let's switch to the postmortem format first.
