run_item_id,template_id,acceptance_variant_id,rep_id,chosen_side_direction_workstart_present,suspended_main_reference_absent,main_direction_intrusion_absent,appropriate,notes_optional
PSA_A_side_r01,A_trip_planning,accept_side_first,1,1,1,1,1,Gemini baseline switches to restaurant work and asks a focused side-topic question without mentioning budget-and-schedule.
PSA_A_side_r02,A_trip_planning,accept_side_first,2,1,1,1,1,Gemini baseline switches to restaurant work and asks a focused side-topic question without mentioning budget-and-schedule.
PSA_A_side_r03,A_trip_planning,accept_side_first,3,1,1,1,1,Gemini baseline switches to restaurant work and asks a focused side-topic question without mentioning budget-and-schedule.
PSA_A_side_r04,A_trip_planning,accept_side_first,4,1,1,1,1,Gemini baseline switches to restaurant work and asks a focused side-topic question without mentioning budget-and-schedule.
PSA_B_side_r01,B_hiring_packet,accept_side_first,1,1,1,1,1,Gemini baseline switches to onboarding-training work and asks a focused side-topic question without mentioning the hiring packet.
PSA_B_side_r02,B_hiring_packet,accept_side_first,2,1,1,1,1,Gemini baseline switches to onboarding-training work and asks a focused side-topic question without mentioning the hiring packet.
PSA_B_side_r03,B_hiring_packet,accept_side_first,3,1,1,1,1,Gemini baseline switches to onboarding-training work and asks a focused side-topic question without mentioning the hiring packet.
PSA_B_side_r04,B_hiring_packet,accept_side_first,4,1,1,1,1,Gemini baseline switches to onboarding-training work and asks a focused side-topic question without mentioning the hiring packet.
PSA_C_side_r01,C_incident_response,accept_side_first,1,0,1,1,0,Gemini baseline acknowledges the switch to postmortem format but does not yet begin useful postmortem work.
PSA_C_side_r02,C_incident_response,accept_side_first,2,0,1,1,0,Gemini baseline acknowledges the switch to postmortem format but does not yet begin useful postmortem work.
PSA_C_side_r03,C_incident_response,accept_side_first,3,0,1,1,0,Gemini baseline acknowledges the switch to postmortem format but does not yet begin useful postmortem work.
PSA_C_side_r04,C_incident_response,accept_side_first,4,0,1,1,0,Gemini baseline acknowledges the switch to postmortem format but does not yet begin useful postmortem work.
