run_item_id,template_id,rep_id,provider,model,temperature,arm_label,step2_action_class,accepted_branch_alignment_class,acceptance_variant_id,accepted_branch_label,main_direction_label,side_direction_label,initial_ambiguous_user_turn,canned_step2_assistant_turn,downstream_acceptance_user_turn,assistant_decisive_turn_response,output_tokens,system_prompt_sha256,ran_at_utc
GPH2_anthropic_ablation_A_main_r01,A_trip_planning,1,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it down into major categories (transport, accommodation, food, activities).

2. **Draft a day-by-day schedule** – Outline the dates, destinations, and key activities for each day, keeping travel time and costs in mind as you go.

Ready to dig into either of these?",96,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r02,A_trip_planning,2,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two steps:

1. **Set your total budget** – Decide on an overall spending limit, then break it into categories (transport, accommodation, food, activities).

2. **Outline your schedule** – Fix your travel dates and map out a day-by-day itinerary covering key destinations and activities.

Ready to dig into either of these?",83,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r03,A_trip_planning,3,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two steps:

1. **Set your total budget** – Decide on an overall spending limit, then break it into categories (transport, accommodation, food, activities).

2. **Draft a day-by-day schedule** – Outline travel dates, key destinations, and how long you'll spend at each stop so the timeline is clear before filling in details.",83,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r04,A_trip_planning,4,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two steps:

1. **Set your total budget** – Decide on an overall spending limit, then break it into categories (transport, accommodation, food, activities).

2. **Outline your schedule** – Fix your travel dates and map out a day-by-day itinerary covering key destinations and activities.

Ready to dig into either of these?",83,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r05,A_trip_planning,5,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two steps:

1. **Set your total budget** – Decide on an overall spending limit, then break it into categories (transport, accommodation, food, activities).

2. **Draft a day-by-day schedule** – Outline travel dates, key destinations, and how long you'll spend at each stop so the timeline is clear before filling in details.",83,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r06,A_trip_planning,6,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Define the overall spending limit for the trip, then break it into categories (transport, accommodation, food, activities, contingency).

2. **Outline your schedule** – Lock in your travel dates and map out a day-by-day itinerary, noting key activities and how long each destination needs.

Ready to dig into either of these?",94,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r07,A_trip_planning,7,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Decide on an overall spending limit for the trip, then break it into categories (transport, accommodation, food, activities, etc.).

2. **Draft a day-by-day schedule** – Outline the dates, destinations, and key activities for each day, keeping travel time and costs in mind as you go.

Ready to dig into either of these?",96,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r08,A_trip_planning,8,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two steps:

1. **Set your total budget** – Decide on an overall spending limit, then break it into categories (transport, accommodation, food, activities).

2. **Draft your schedule outline** – List your travel dates and map out a day-by-day structure, noting key activities or destinations for each day.

Ready to dig into either of these?",85,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r09,A_trip_planning,9,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two steps:

1. **Set your total budget** – Decide on an overall spending limit, then break it into categories (transport, accommodation, food, activities).

2. **Draft a day-by-day schedule** – Outline travel dates, key destinations, and how long you'll spend at each stop.

Ready to dig into either one?",82,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
GPH2_anthropic_ablation_A_main_r10,A_trip_planning,10,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,"Help me prepare the trip plan. The key things are budget and schedule, but I am also thinking about restaurants. Before we go further, we should decide which to handle first.","There are two plausible directions here: staying with budget and schedule first so the core trip constraints are fixed first, or switching to restaurants first so meal choices stop hanging over the rest of the plan. Which direction should we take first?",Let's stay with budget and schedule first. Please give me the next two concrete trip-planning steps.,"Here are the next two concrete steps:

1. **Set your total budget** – Define the overall spending limit for the trip, then break it into categories (transport, accommodation, food, activities, etc.).

2. **Outline your schedule** – Lock in your travel dates and key time blocks (travel days, destination days, any fixed commitments), so you have a clear framework to fit everything else into.",89,fa1855817eb3a14659403f954024c4647a1692f6e6bb640f2878961c6a708abb,2026-03-20T15:50:28Z
