run_item_id,template_id,rep_id,provider,model,temperature,arm_label,step2_action_class,accepted_branch_alignment_class,acceptance_variant_id,accepted_branch_label,main_direction_label,side_direction_label,output_tokens,source_outdir,accepted_branch_followthrough_present,reopened_choice_absent,appropriate,comparative_evaluation_present,explicit_branch_count,accepted_branch_recognition_present,alternative_branch_push_absent,notes_optional
GPH2_anthropic_ablation_A_main_r01,A_trip_planning,1,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,96,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r02,A_trip_planning,2,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r03,A_trip_planning,3,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r04,A_trip_planning,4,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r05,A_trip_planning,5,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r06,A_trip_planning,6,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,94,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r07,A_trip_planning,7,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,96,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r08,A_trip_planning,8,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,85,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r09,A_trip_planning,9,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,82,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r10,A_trip_planning,10,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,89,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r11,A_trip_planning,11,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r12,A_trip_planning,12,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r13,A_trip_planning,13,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,82,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r14,A_trip_planning,14,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,84,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r15,A_trip_planning,15,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r16,A_trip_planning,16,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
GPH2_anthropic_ablation_A_main_r17,A_trip_planning,17,anthropic,claude-sonnet-4-6,0.0,ablation,explicit_choice_question,user_selected_after_choice_question,accept_main_first,main_objective,budget and schedule,restaurants,83,CURRENT/source_bundles/guarantee_phase2_priority_resolution_downstream_acceptance_20260320T155028Z_anthropic_ablation,1,1,1,1,2,1,1,continues the accepted branch with a substantively usable next-step response
