provider,arm_label,template_id,run_item_id,opening_comparison_framing_read,direct_relation_work_read,ablation_realization_read,visible_limitation_read,scoring_note,source_response_csv
anthropic,implementation,STD_D1_briefing_axis,GBFPL_anthropic_implementation_D1_r01,na,direct_relation,na,none,"stays inside the active briefing-format relation rather than opening with comparison framing","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,implementation,STD_D2_planning_relation,GBFPL_anthropic_implementation_D2_r01,na,direct_relation,na,none,"keeps both planning options live as one relation question","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,implementation,STD_D3_venue_move,GBFPL_anthropic_implementation_D3_r01,na,direct_relation,na,none,"asks for the cost-versus-travel relation directly inside the main objective","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,implementation,STD_D4_bike_detail,GBFPL_anthropic_implementation_D4_r01,na,direct_relation,na,none,"stays on the internal tradeoff between weight and stability","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,implementation,STD_D5_lesson_useful_move,GBFPL_anthropic_implementation_D5_r01,na,direct_relation,na,none,"asks which lesson component should land first without opening a comparison-led rewrite","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,implementation,STD_D1_briefing_axis,GBFPL_gemini_implementation_D1_r01,na,softened_compare_lean,na,none,"still inside the format choice, but opens with an explicit side-by-side comparison option","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,implementation,STD_D2_planning_relation,GBFPL_gemini_implementation_D2_r01,na,direct_relation,na,none,"keeps the planning relation live rather than inserting opening comparison framing","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,implementation,STD_D3_venue_move,GBFPL_gemini_implementation_D3_r01,na,direct_relation,na,none,"asks for the paired venue values directly inside the active venue decision","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,implementation,STD_D4_bike_detail,GBFPL_gemini_implementation_D4_r01,na,direct_relation,na,none,"stays on the weight-versus-stability tradeoff directly","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,implementation,STD_D5_lesson_useful_move,GBFPL_gemini_implementation_D5_r01,na,softened_compare_lean,na,none,"keeps the lesson flow active, but introduces a side-by-side sketch move rather than a pure relation question","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_implementation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,ablation,STD_D1_briefing_axis,GBFPL_anthropic_ablation_D1_r01,comparison_opening,na,follow_up_question,none,"opens by contrasting outline versus talking points, then follows with a clarifying question","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,ablation,STD_D2_planning_relation,GBFPL_anthropic_ablation_D2_r01,comparison_opening,na,follow_up_question,collapse_row,"opens with a compare-one-versus-both framing but collapses the line into the visible limitation row","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,ablation,STD_D3_venue_move,GBFPL_anthropic_ablation_D3_r01,comparison_opening,na,follow_up_question,none,"opens by restating the cost-versus-travel contrast before asking a follow-up question","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,ablation,STD_D4_bike_detail,GBFPL_anthropic_ablation_D4_r01,comparison_opening,na,follow_up_question,none,"opens with a weight-versus-stability contrast and continues as a follow-up question","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
anthropic,ablation,STD_D5_lesson_useful_move,GBFPL_anthropic_ablation_D5_r01,comparison_opening,na,follow_up_question,none,"opens by contrasting opener versus guided practice, then asks a follow-up question","guarantee_behavior_first_provider_local_20260323T211444Z_anthropic_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,ablation,STD_D1_briefing_axis,GBFPL_gemini_ablation_D1_r01,comparison_opening,na,follow_up_question,none,"opens with a talking-points-versus-outline comparison and continues as a question","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,ablation,STD_D2_planning_relation,GBFPL_gemini_ablation_D2_r01,comparison_opening,na,follow_up_question,none,"opens with a single-tool versus combined-setup comparison and continues as a question","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,ablation,STD_D3_venue_move,GBFPL_gemini_ablation_D3_r01,comparison_opening,na,direct_step,none,"opens with the cost-versus-travel compromise and turns immediately toward the concrete venue-comparison step","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,ablation,STD_D4_bike_detail,GBFPL_gemini_ablation_D4_r01,comparison_opening,na,follow_up_question,none,"opens with a weight-versus-stability comparison and continues as a follow-up question","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
gemini,ablation,STD_D5_lesson_useful_move,GBFPL_gemini_ablation_D5_r01,comparison_opening,na,direct_step,none,"opens with the opener-versus-practice contrast and moves straight into a concrete lesson-sketching step","guarantee_behavior_first_provider_local_20260323T211444Z_gemini_ablation/guarantee_rewritten_nrr_small_test_responses_v1.csv"
