run_item_id,template_id,rep_id,checkpoint_id,chosen_side_direction_progress_present,user_detail_use_present,unresolved_relation_preserved_or_narrowly_checked,suspended_main_reference_absent,starter_question_repeat_absent,appropriate,notes_optional
PRHS_A_r01,A_trip_planning,1,turn7,1,1,1,1,1,1,Uses the seafood/ramen detail and asks a concrete location-narrowing question without collapsing the relation.
PRHS_A_r01,A_trip_planning,1,turn9,1,1,1,1,1,1,Uses the station and not-fish-ramen detail while continuing with a still-open location question.
PRHS_A_r01,A_trip_planning,1,turn11,0,0,1,1,1,0,Stalls on the still-unanswered location question and does not use the new casual-or-split detail.
PRHS_A_r02,A_trip_planning,2,turn7,1,1,1,1,1,1,Uses the seafood/ramen detail and asks a concrete location-narrowing question without collapsing the relation.
PRHS_A_r02,A_trip_planning,2,turn9,1,1,1,1,1,1,Uses the station and not-fish-ramen detail while continuing with a still-open location question.
PRHS_A_r02,A_trip_planning,2,turn11,0,0,1,1,1,0,Stalls on the still-unanswered location question and does not use the new casual-or-split detail.
PRHS_A_r03,A_trip_planning,3,turn7,0,1,1,1,1,0,Uses the seafood/ramen detail but only acknowledges the direction without making a concrete next move.
PRHS_A_r03,A_trip_planning,3,turn9,1,1,1,1,1,1,Uses the station and not-fish-ramen detail and moves forward to finding options.
PRHS_A_r03,A_trip_planning,3,turn11,1,1,0,1,1,0,Turns the user's conditional split option into the active interpretation instead of preserving or narrowly checking it.
PRHS_A_r04,A_trip_planning,4,turn7,0,1,1,1,1,0,Uses the seafood/ramen detail but only acknowledges the direction without making a concrete next move.
PRHS_A_r04,A_trip_planning,4,turn9,1,1,1,1,1,1,Uses the station and not-fish-ramen detail and moves forward to recommendations.
PRHS_A_r04,A_trip_planning,4,turn11,0,1,0,1,1,0,Collapses to the split-meals interpretation and then only acknowledges it rather than making useful progress.
PRHS_B_r01,B_hiring_packet,1,turn7,1,1,1,1,1,1,Uses the training topics detail and cleanly keeps onboarding training active.
PRHS_B_r01,B_hiring_packet,1,turn9,1,1,1,1,1,1,Uses the first-day priority and asks a narrow clarification on the still-unresolved tools-versus-norms order.
PRHS_B_r01,B_hiring_packet,1,turn11,0,1,1,1,1,0,Uses the checklist-separation detail but only summarizes the unresolved choice without advancing.
PRHS_B_r02,B_hiring_packet,2,turn7,1,1,1,1,1,1,Uses the training topics detail and cleanly keeps onboarding training active.
PRHS_B_r02,B_hiring_packet,2,turn9,1,1,1,1,1,1,Uses the first-day priority and asks a narrow clarification on the still-unresolved tools-versus-norms order.
PRHS_B_r02,B_hiring_packet,2,turn11,0,1,1,1,1,0,Uses the checklist-separation detail but only summarizes the unresolved choice without advancing.
PRHS_B_r03,B_hiring_packet,3,turn7,1,1,1,1,1,1,Uses the training topics detail and cleanly keeps onboarding training active.
PRHS_B_r03,B_hiring_packet,3,turn9,1,1,1,1,1,1,Uses the first-day priority and asks a narrow clarification on the still-unresolved tools-versus-norms order.
PRHS_B_r03,B_hiring_packet,3,turn11,1,1,1,1,1,1,Preserves the unresolved order and asks one narrow follow-up while keeping the checklist separate and practical.
PRHS_B_r04,B_hiring_packet,4,turn7,1,1,1,1,1,1,Uses the training topics detail and cleanly keeps onboarding training active.
PRHS_B_r04,B_hiring_packet,4,turn9,1,1,1,1,1,1,Uses the first-day priority and asks a narrow clarification on the still-unresolved tools-versus-norms order.
PRHS_B_r04,B_hiring_packet,4,turn11,1,1,1,1,1,1,Preserves the unresolved order and asks one narrow follow-up while keeping the checklist separate and practical.
PRHS_C_r01,C_incident_response,1,turn7,1,1,1,1,1,1,Expands the postmortem side topic using the user-supplied sections without reviving the suspended main objective.
PRHS_C_r01,C_incident_response,1,turn9,1,1,0,1,1,0,Commits to putting impact before root cause without support instead of preserving or narrowly checking the unresolved ordering.
PRHS_C_r01,C_incident_response,1,turn11,1,1,0,1,1,0,Builds on the unsupported impact-before-root-cause commitment while adding owners.
PRHS_C_r02,C_incident_response,2,turn7,1,1,1,1,1,1,Expands the postmortem side topic using the user-supplied sections without reviving the suspended main objective.
PRHS_C_r02,C_incident_response,2,turn9,1,1,0,1,1,0,Commits to putting impact before root cause without support instead of preserving or narrowly checking the unresolved ordering.
PRHS_C_r02,C_incident_response,2,turn11,1,1,0,1,1,0,Builds on the unsupported impact-before-root-cause commitment while adding owners.
PRHS_C_r03,C_incident_response,3,turn7,1,1,1,1,1,1,Expands the postmortem side topic using the user-supplied sections without reviving the suspended main objective.
PRHS_C_r03,C_incident_response,3,turn9,1,1,0,1,1,0,Commits to putting impact before root cause without support instead of preserving or narrowly checking the unresolved ordering.
PRHS_C_r03,C_incident_response,3,turn11,1,1,0,1,1,0,Builds on the unsupported impact-before-root-cause commitment while adding owners.
PRHS_C_r04,C_incident_response,4,turn7,1,1,1,1,1,1,Expands the postmortem side topic using the user-supplied sections without reviving the suspended main objective.
PRHS_C_r04,C_incident_response,4,turn9,1,1,0,1,1,0,Commits to putting impact before root cause without support instead of preserving or narrowly checking the unresolved ordering.
PRHS_C_r04,C_incident_response,4,turn11,1,1,0,1,1,0,Builds on the unsupported impact-before-root-cause commitment while adding owners.
